nHiddenLayers,nNeurons,function,learning_rate,batchSize,nEpochs,r2,mae,rmse
10,256,relu,0.002355298230317623,64,100,0.9187118411064148,0.18977360427379608,0.2899087071418762
9,256,relu,0.001058058465023479,512,100,0.927817702293396,0.1612408459186554,0.27318885922431946
10,512,tanh,0.0008865808346449156,64,20,0.4190788269042969,0.5763254165649414,0.775007963180542
7,256,tanh,0.0005781240502859025,128,79,0.9256606698036194,0.18927828967571259,0.27724069356918335
9,256,relu,0.00021386969898751202,128,91,0.9074439406394958,0.2029324471950531,0.3093498945236206
5,64,tanh,1.883737014149049e-05,128,100,0.6458357572555542,0.435046911239624,0.6051318049430847
8,128,relu,0.003086409248327409,128,100,0.908886730670929,0.19309790432453156,0.3069293200969696
4,256,relu,0.009174489608448494,256,49,0.8632513284683228,0.27645063400268555,0.3760184347629547
4,256,relu,0.0005841962517137885,64,88,0.9256272315979004,0.18878977000713348,0.27730298042297363
8,64,relu,0.00026837242858839455,256,100,0.8459461331367493,0.2851266860961914,0.39910200238227844
9,256,tanh,0.0008511812584090646,64,38,0.8301265239715576,0.3030203878879547,0.41909292340278625
4,64,tanh,0.0006681781517985018,64,63,0.8628891706466675,0.26950931549072266,0.3765159845352173
9,256,tanh,0.009635699943772757,256,100,0.43001145124435425,0.5676668286323547,0.7676807641983032
10,128,tanh,0.00022628967979306634,128,100,0.8971961736679077,0.23154160380363464,0.326026052236557
6,256,relu,0.0011493785988119108,512,100,0.9331624507904053,0.17244307696819305,0.2628801763057709
9,256,relu,0.00046677996472033943,256,60,0.9086472988128662,0.2064085453748703,0.3073323965072632
6,256,tanh,2.0455104275439713e-05,128,100,0.7595069408416748,0.3490620255470276,0.49865350127220154
8,256,relu,0.0019400677473989983,128,99,0.9180002212524414,0.16682714223861694,0.29117482900619507
4,256,relu,3.4773484840542084e-05,256,100,0.8114331364631653,0.3089549243450165,0.4415503740310669
8,512,relu,2.664550541814432e-05,64,82,0.8992637991905212,0.23184186220169067,0.32273074984550476
6,256,relu,0.004467109040336819,128,98,0.8974514007568359,0.2207271158695221,0.32562100887298584
9,512,tanh,0.0006625642856777819,512,100,0.9302023649215698,0.1766691356897354,0.2686383128166199
8,512,tanh,1.3685229592291358e-05,512,100,0.7314693927764893,0.37423276901245117,0.5269197821617126
6,64,relu,0.00031056748551488484,512,100,0.8182811141014099,0.30389901995658875,0.4334585964679718
10,256,relu,0.0001553150435334918,64,100,0.9147276878356934,0.1860334426164627,0.2969282567501068
9,512,tanh,2.2157467348292442e-05,64,100,0.8818586468696594,0.25020384788513184,0.3495011329650879
10,64,relu,0.00020278208344760642,512,100,0.8206095099449158,0.3112865388393402,0.43067267537117004
9,64,relu,0.005221174337350374,256,100,0.895832896232605,0.22215518355369568,0.32818058133125305
5,128,relu,3.399682712404353e-05,512,100,0.7423553466796875,0.363921582698822,0.5161288380622864
8,256,tanh,2.8370840631093467e-05,64,100,0.8340064883232117,0.3001716136932373,0.4142792224884033
4,256,tanh,0.00022685146647830588,64,99,0.921808123588562,0.2043909877538681,0.2843337655067444
10,64,tanh,0.00024441900779995557,64,100,0.8592186570167542,0.26592859625816345,0.3815225064754486
7,64,tanh,0.008854351187556514,64,39,0.5096575021743774,0.5155110359191895,0.712028443813324
5,256,tanh,0.005672968438137154,512,100,0.9156992435455322,0.18259106576442719,0.29523196816444397
9,256,relu,9.751518866885027e-05,512,100,0.8621855974197388,0.27142104506492615,0.3774808347225189
8,128,tanh,8.525016194205556e-05,512,100,0.7610704898834229,0.3497460186481476,0.4970298409461975
10,128,relu,0.0008671105339296333,512,76,0.9067218899726868,0.21374750137329102,0.3105542063713074
5,64,tanh,0.0034141701897758146,64,62,0.8719038963317871,0.2462715208530426,0.36392802000045776
8,512,relu,3.06719675642203e-05,128,69,0.8823813796043396,0.24735066294670105,0.3487270772457123
10,512,relu,0.00039997555444683047,256,100,0.921795129776001,0.14802518486976624,0.28435736894607544
7,512,relu,0.0028227584668654,128,86,0.905807614326477,0.208566352725029,0.3120724856853485
