winSize,hiddenLayers,neurons,function,learning_rate,batchSize,epochs,r2,mae,rmse
30,9,256,sigmoid,0.00028349167182377524,128,epochs,0.8355328440666199,0.2764611542224884,0.3966182470321655
30,7,256,tanh,0.00011127805409633225,256,epochs,0.866428017616272,0.2550240159034729,0.35742977261543274
20,10,128,tanh,1.3372095221323861e-05,64,epochs,0.7902511358261108,0.3313649892807007,0.4656905233860016
20,8,256,relu,2.126570302701857e-05,128,epochs,0.8560806512832642,0.2762776017189026,0.3857510983943939
10,7,256,sigmoid,0.00026134351088213725,128,epochs,0.7206845283508301,0.36616212129592896,0.5225499272346497
20,7,128,tanh,9.193970509080526e-05,64,epochs,0.8743132948875427,0.2576909065246582,0.3604891896247864
30,10,64,relu,0.0001793308251250528,128,epochs,0.8398444652557373,0.27698951959609985,0.39138489961624146
10,4,256,sigmoid,0.0006432042368900553,256,epochs,0.7657926678657532,0.34289735555648804,0.4784984290599823
20,5,512,tanh,3.788211296555518e-05,64,epochs,0.9180066585540771,0.20532824099063873,0.29116350412368774
30,5,64,sigmoid,0.00010264470194970798,256,epochs,0.7276986837387085,0.36700311303138733,0.5103380084037781
30,7,512,sigmoid,9.633408488858216e-05,512,epochs,0.6797291040420532,0.3945542871952057,0.5534670948982239
20,7,128,tanh,0.0018250297794773643,256,epochs,0.9126476049423218,0.19605888426303864,0.30052804946899414
30,5,64,sigmoid,2.2629478381645623e-05,256,epochs,0.5078321695327759,0.5206286311149597,0.6861035823822021
30,10,256,sigmoid,2.2503353244364736e-05,256,epochs,-0.01840662956237793,0.7845953106880188,0.986946702003479
20,9,512,sigmoid,0.0025467421450955734,128,epochs,-0.024905800819396973,0.7920785546302795,1.0294127464294434
30,9,256,relu,0.005645912202928424,64,epochs,0.8791705369949341,0.23202186822891235,0.3399534821510315
20,10,512,relu,0.0010987166700722661,512,epochs,0.9231645464897156,0.1281447559595108,0.2818566858768463
30,4,512,sigmoid,0.002634790310611548,64,epochs,0.8940754532814026,0.21952129900455475,0.3182961344718933
10,8,64,relu,0.00018667757659344964,64,epochs,0.8235800862312317,0.28389182686805725,0.4152924418449402
10,10,512,tanh,0.009518528086922055,512,epochs,0.041796326637268066,0.7624756693840027,0.9678524732589722
10,9,256,relu,3.431001334782566e-05,512,epochs,0.8052392601966858,0.3064527213573456,0.4363459646701813
30,9,512,sigmoid,0.00013735023414169248,128,epochs,0.8111032247543335,0.2986716032028198,0.42505520582199097
10,10,512,sigmoid,0.0019868285981306873,64,epochs,-0.0050506591796875,0.7911896705627441,0.9912295341491699
10,5,64,tanh,0.0002074380563155947,128,epochs,0.8142880201339722,0.30291426181793213,0.4260888993740082
20,5,256,sigmoid,0.0006219464923509303,256,epochs,0.8538099527359009,0.27964335680007935,0.3887822926044464
10,7,256,tanh,1.5236068316795693e-05,128,epochs,0.749251663684845,0.3537839651107788,0.4951072335243225
30,7,256,sigmoid,0.00017740828608730786,128,epochs,0.8371703028678894,0.2810792624950409,0.39463889598846436
10,6,128,tanh,0.005549112396118206,512,epochs,0.8944026827812195,0.20414240658283234,0.3212970197200775
10,6,64,tanh,0.00347856527890378,64,epochs,0.8465304374694824,0.25193095207214355,0.38733917474746704
30,8,64,relu,3.668511474362323e-05,128,epochs,0.7905734181404114,0.31581911444664,0.44755762815475464
10,9,64,sigmoid,0.009970478952738983,512,epochs,0.7838688492774963,0.3135095238685608,0.4596623480319977
20,10,256,tanh,0.000250467500911502,256,epochs,0.9280278086662292,0.18398691713809967,0.27279090881347656
20,5,256,tanh,0.00017449802332685353,128,epochs,0.9202508926391602,0.19978174567222595,0.2871510684490204
30,9,512,tanh,2.8657231402066698e-05,256,epochs,0.8461114764213562,0.27577751874923706,0.38365089893341064
20,10,512,sigmoid,0.0008415566636617346,512,epochs,0.8672987222671509,0.2622756361961365,0.37041211128234863
30,9,64,sigmoid,1.2631975407416078e-05,64,epochs,0.5069810152053833,0.5184515714645386,0.6866965889930725
10,9,128,relu,4.530634391728398e-05,512,epochs,0.7809802889823914,0.3296557664871216,0.4627237915992737
10,4,512,relu,1.1224795636870552e-05,256,epochs,0.7942920923233032,0.31180769205093384,0.4484414756298065
30,9,512,relu,2.0943501205283967e-05,64,epochs,0.8847968578338623,0.23558981716632843,0.3319443166255951
20,4,256,tanh,0.00023822823693559855,128,epochs,0.9187755584716797,0.20591042935848236,0.28979504108428955
10,9,64,relu,0.00016437467014060193,512,epochs,0.781212568283081,0.32183903455734253,0.4624783992767334
20,9,256,sigmoid,0.008550424368806294,64,epochs,-0.024999022483825684,0.7920792102813721,1.0294595956802368
30,7,256,relu,0.005922128134919068,256,epochs,0.9007993340492249,0.2048456072807312,0.30802813172340393
20,4,128,sigmoid,2.7075387682885663e-05,512,epochs,0.4718298316001892,0.5460261702537537,0.7389830946922302
10,8,512,sigmoid,0.0048930234936073735,256,epochs,-0.03947305679321289,0.7869577407836914,1.008061170578003
